OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_2121,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,unidentified,BOTU_2121_Edaphobaculum
BOTU_2124,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,unidentified,BOTU_2124_Reyranella
BOTU_2112,Bacteria,Actinobacteriota,Actinobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_2112_Actinobacteria
BOTU_2134,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_bacterium,BOTU_2134_uncultured_bacterium
BOTU_2131,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_Chloroflexi,BOTU_2131_uncultured_Chloroflexi
BOTU_2128,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,unidentified,unidentified,BOTU_2128_uncultured
BOTU_2132,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured_bacterium,BOTU_2132_uncultured_bacterium
BOTU_2129,Bacteria,Actinobacteriota,Acidimicrobiia,unidentified,unidentified,unidentified,unidentified,BOTU_2129_Acidimicrobiia
BOTU_2142,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_bacterium,BOTU_2142_uncultured_bacterium
BOTU_2130,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,unidentified,BOTU_2130_Burkholderiales
BOTU_2133,Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,Pla4_lineage,Pla4_lineage,uncultured_bacterium,BOTU_2133_uncultured_bacterium
BOTU_2139,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,uncultured_bacterium,BOTU_2139_uncultured_bacterium
BOTU_2135,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Subgroup_17,Subgroup_17,uncultured_Acidobacteria,BOTU_2135_uncultured_Acidobacteria
BOTU_2144,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_Chloroflexi,BOTU_2144_uncultured_Chloroflexi
BOTU_2140,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,BOTU_2140_uncultured_bacterium
BOTU_2136,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,uncultured_bacterium,BOTU_2136_uncultured_bacterium
BOTU_2137,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,unidentified,unidentified,unidentified,BOTU_2137_uncultured
BOTU_2148,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,unidentified,BOTU_2148_C0119
BOTU_2141,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unidentified,BOTU_2141_Solirubrobacter
